,time,New_AccelerationX,New_AccelerationY,New_AccelerationZ,new_NetAcceleration
992,10.003870964050291,1.1633542894131397,-2.167718809677562,-1.0324011927116887,2.6680049218917072
993,10.0157790184021,1.0784224789173884,-1.9897410388571664,-1.3011340543789263,2.6105582299981864
994,10.023849964141846,0.9991045360476151,-1.8129784659078407,-1.5606216570490425,2.5924198634185336
995,10.03380298614502,0.9318695983931601,-1.6372903544985882,-1.8019790423852666,2.606957829068062
996,10.047761917114258,0.8822512703445555,-1.4625798793881108,-2.016614605128142,2.642771589303861
997,10.054086923599243,0.8544507695424207,-1.2888546763241566,-2.1966737226539035,2.6863744969851915
998,10.066053867340088,0.8511497045219453,-1.1162770481333915,-2.335527104995764,2.7249251596818373
999,10.074162006378174,0.8735011293013669,-0.9452066606306342,-2.428281220024075,2.748266642397147
1000,10.084129810333252,0.9212311416174663,-0.7762085740738291,-2.472248464551611,2.7501234585431518
1001,10.097981929779053,0.992780069828006,-0.6099852876704062,-2.4672938457242246,2.7285954700854216
1002,10.104436874389648,1.0854341377238053,-0.44721366095357523,-2.415992365979185,2.6861099080918898
1003,10.11644196510315,1.1954293177529465,-0.28831585183716174,-2.32356284432345,2.628901210712252
1004,10.12451696395874,1.3180343204918568,-0.1332301233540952,-2.197550795815229,2.565968479142237
1005,10.146020889282228,1.4476308775619888,0.018751071134869873,-2.047224587940182,2.5074120670138056
1006,10.148447036743164,1.5778011616232466,0.16902480325191585,-1.8826780770535005,2.4622149848361903
1007,10.154865980148315,1.7014164723766625,0.31956624493597946,-1.7137075958416512,2.435925762707579
1008,10.16689109802246,1.8107274599149619,0.472645094295719,-1.5485970046482682,2.429049197125799
1009,10.174953937530518,1.8974895072570712,0.6303908308548242,-1.3929807415629594,2.4368533760039424
1010,10.19647979736328,1.9531910099967886,0.7942771817847676,-1.2489847245277668,2.450672194549881
1011,10.198925018310549,1.969461952014106,0.9646409302158724,-1.1148404311083855,2.460118227141307
1012,10.205286026000977,1.9387075965647989,1.1403659454528807,-0.9850725251537988,2.455481523925518
1013,10.217267036437988,1.8549300486209888,1.3188229082966587,-0.8512027513976658,2.4299393969216756
1014,10.225281953811646,1.7145985577926695,1.4960643996795815,-0.702787456090416,2.3815891985838715
1015,10.246595859527588,1.5173670373846524,1.66718619970704,-0.5285663093746744,2.315447018189154
1016,10.249053001403809,1.266455952065633,1.8267304969829126,-0.3175293962615584,2.2453685453885157
1017,10.255652904510498,0.9686069620486977,1.9690240223579518,-0.05977691782505334,2.195182982681981
1018,10.268302917480469,0.6336307074556671,2.088375709528137,0.25286335860300574,2.196984491456849
1019,10.275727987289429,0.27365192067409366,2.179094904229638,0.6263847175381881,2.28379022453762
1020,10.297395944595335,-0.09779643402407584,2.235360808072858,1.0641343704116186,2.4776569663832193
1021,10.2998628616333,-0.46666498454197547,2.2510745593410726,1.5661155939812281,2.781695693856778
1022,10.306084871292114,-0.8191416541653885,2.2198983028679313,2.1279425918063093,3.182307527359366
1023,10.318706035614014,-1.1422392605356129,2.1356727176438572,2.7395414328867025,3.6566235447062594
1024,10.32602882385254,-1.4242932846811833,1.9932986664014147,3.3839197515336052,4.177650514234625
1025,10.34666109085083,-1.6555044850316813,1.790003398442293,4.036485723348022,4.71572096939454
1026,10.349133968353271,-1.8286470409288116,1.5267254634153384,4.665425403981551,5.238419116589937
1027,10.356406927108765,-1.9399750548129377,1.2092006540817795,5.2334914820401695,5.710963362491067
1028,10.36910104751587,-1.990215196636196,0.848320965462234,5.701202950722018,6.097894724795261
1029,10.376487970352173,-1.9853691224024028,0.45954098075089356,6.031030297912229,6.366018765249884
1030,10.396381855010986,-1.9369478914313407,0.06141462717187479,6.191843694654835,6.488024909753955
1031,10.399797916412354,-1.861322122584749,-0.3264398418392915,6.162828952053033,6.446048689439643
1032,10.406774997711182,-1.778096085215889,-0.6855853791823016,5.936188671480313,6.234580093624575
1033,10.41953706741333,-1.707671912883002,-1.00085666388568,5.518172763179976,5.862430218603476
1034,10.427001953125,-1.668355055675672,-1.2619361968874638,4.928284592244004,5.3538659470482655
1035,10.446480751037598,-1.6734661651469072,-1.4641282868303311,4.196847539047992,4.749493647979898
1036,10.448906898498535,-1.7289842586339657,-1.6082221801262824,3.3614223606467672,4.107910105383303
1037,10.457242012023926,-1.832213299994404,-1.6995637125886367,2.4627612654458333,3.508662913476417
1038,10.470142841339111,-1.9718051010933495,-1.7466247998010151,1.5410094407661632,3.0517902359939706
1039,10.477334022521973,-2.1292197494305976,-1.759419193922179,0.6327121333490726,2.833629701459632
1040,10.496455907821655,-2.281434432986264,-1.7480783949577312,-0.23107803730142146,2.8834212675667827
1041,10.499847888946531,-2.404470270372699,-1.7217987087577806,-1.0255854920706968,3.1301587301815883
1042,10.50772476196289,-2.4771234005565135,-1.6882283200093147,-1.7322151540887654,3.462199379313806
1043,10.520421028137209,-2.484212134194704,-1.6532383111283953,-2.3379246616016056,3.790830854098856
1044,10.527791023254396,-2.418734688315843,-1.6209557952861824,-2.834413711200622,4.063456197496939
1045,10.546389102935793,-2.2825712130454954,-1.593931036826822,-3.2173999814442014,4.254692719031653
1046,10.54885482788086,-2.085698790521271,-1.5733517458908544,-3.4861353692383643,4.356456699398537
1047,10.558129787445068,-1.8442037225739807,-1.5592803768024095,-3.643177124664687,4.370947520334332
1048,10.570628881454468,-1.5775536566927812,-1.550919801893504,-3.694289842411875,4.306019648282821
1049,10.578176975250244,-1.30560929094608,-1.5468838250625752,-3.6482683613038778,4.172208914344514
